"gene","score"
"MGMT",4.55
"SORBS2",3.64
"FAM179A",3.57
"BARD1",3.4
"BCL6",3.385
"MRPS35",3.37
"SLC25A37",3.355
"TMEM170B",3.295
"SEC14L5",3.295
"RANBP6",3.28
"CIB3",3.275
"YARS2",3.25
"POLG2",3.225
"BEND7",3.22
"KSR2",3.215
"IER5L",3.195
"TLR4",3.195
"PGLYRP2",3.175
"EDEM1",3.17
"SLC18A3",3.155
"C11orf49",3.065
"APEX1",3.045
"EPN1",2.98
"SCAMP3",2.95
"KCTD8",2.935
"KLHL38",2.915
"WAPAL",2.915
"ELL",2.915
"ACTL8",2.85
"BAI3",2.825
"CACNG7",2.825
"SLCO1C1",2.825
"CNPY2",2.825
"OR2A12",2.815
"EML6",2.815
"XPA",2.815
"DEDD",2.8
"SLIT2",2.78
"HEBP2",2.77
"TRIM37",2.77
"C8orf58",2.77
"KAT6B",2.755
"RAB3IP",2.75
"HCN1",2.745
"ARHGAP10",2.745
"KLF2",2.73
"IMPAD1",2.725
"NTSR2",2.715
"SMPD1",2.705
"C10orf76",2.695
"PDLIM1",2.69
"SRMS",2.685
"C6orf89",2.685
"CMPK2",2.675
"TBC1D19",2.67
"ETV6",2.66
"RNF220",2.655
"NR6A1",2.655
"IZUMO1",2.62
"TMX4",2.615
"CENPT",2.615
"CBLC",2.595
"HKDC1",2.595
"KPNA1",2.59
"DIO2",2.58
"ZNF385D",2.575
"PRR7",2.565
"QRFP",2.565
"EXOSC2",2.56
"RBFOX3",2.56
"BTBD19",2.555
"GAD2",2.55
"PI16",2.55
"PLVAP",2.545
"OS9",2.545
"CBY3",2.525
"NOS1AP",2.515
"NDUFB5",2.515
"VIM",2.51
"CEP57",2.51
"ERCC4",2.505
"SLC25A35",2.5
"SEL1L",2.485
"WNT5A",2.485
"CCDC124",2.48
"TFCP2",2.48
"SNX4",2.48
"C2orf48",2.475
"FAM109A",2.475
"MCMDC2",2.47
"SMUG1",2.46
"VPS13A",2.455
"APLP1",2.45
"KCNMA1",2.44
"PDE6D",2.43
"CYB561",2.415
"ALDH18A1",2.41
"ANKRD17",2.41
"BCCIP",2.405
"ZNF507",2.405
"TMEM39A",2.405
"TCEAL4",2.405
"ATP10B",2.4
"HHIPL1",2.395
"PRKCG",2.395
"NLGN3",2.39
"ADCY7",2.39
"TRAF3",2.38
"GAS2",2.375
"PARP1",2.37
"E2F2",2.37
"SNX30",2.36
"OIT3",2.36
"SOCS2",2.36
"LMOD3",2.355
"LRRC43",2.355
"MVK",2.35
"A2ML1",2.345
"DDX56",2.345
"PLXNB2",2.34
"NCOA5",2.34
"SPATC1L",2.335
"SLC27A1",2.335
"FBXL6",2.335
"ANKS6",2.335
"GRB7",2.335
"COQ2",2.33
